paper_id,pmcid,study_design,clinical_topic,population,exposure_or_primary_predictor,outcome,earliest_public_date,earliest_public_date_evidence,cutoff_eligible,distractors_feasible,table_figure_dependence,specialist_burden,inclusion_recommendation,exclusion_reason_or_unresolved_concern,candidate_paragraph_idx
CP-001,PMC12925122,retrospective national registry/EHR-linked cohort (MINAP linked to hospital admission and mortality registries),cardiovascular epidemiology — acute myocardial infarction outcomes,"931,133 adults admitted with acute myocardial infarction in England and Wales, 2005-2019",frailty severity (SCARF index) and sex,"all-cause mortality at 1 year (primary); MACE, cardiovascular death, heart failure readmission at 30 days and 1 year",2026-02-12,"JATS pub-date[epub]=2026-02-12 in the PMC OA XML; Lancet Reg Health Eur 2026;101612 (DOI 10.1016/j.lanepe.2026.101612); history[received]=2025-10-09 post-dates the cutoff, so no pre-cutoff version can exist; targeted preprint/abstract search returned no earlier posting",yes,yes,low,medium,strong,"'Research in context' box (paragraph 0) restates the headline findings and is a same-paper leakage hazard: it must be excluded from true-context and distractor windows. Only limitation paragraph (idx 30, 280 w) is a combined strengths+limitations paragraph above the 220-word preferred band.",18;19;24;27;30
CP-002,PMC12141897,retrospective cohort analysis of a prospectively collected single-centre PCI registry,cardiovascular epidemiology — percutaneous coronary intervention outcomes,"21,236 patients undergoing PCI at a single US centre, 2012-2022",race and ethnicity (White/Black/Hispanic/South Asian/East Asian) with census-derived socioeconomic status,1-year major adverse cardiovascular events (MACE),2025-05-13,"JATS pub-date[epub]=2025-05-13; JACC Adv 2025 (DOI 10.1016/j.jacadv.2025.101767); history[received]=2024-12-30 post-dates the cutoff, so no pre-cutoff version can exist; targeted preprint search returned no earlier posting",yes,yes,low,low,strong,"Single-centre registry limits generalisability but does not affect screening eligibility. Limitation paragraph (idx 18, 114 w) sits squarely in the preferred band.",9;10;15;16;18
CP-003,PMC13243855,nationwide claims-based observational cohort (Korean Health Insurance Review and Assessment database),cardiovascular epidemiology — atrial fibrillation anticoagulation and stroke,"388,214 adults with atrial fibrillation newly prescribed oral anticoagulants in South Korea, 2015-2021",oral anticoagulant type (DOAC vs warfarin) stratified by gastrointestinal surgery status,"incident ischaemic stroke (primary); major bleeding, all-cause death, composite (secondary)",2026-04-23,"JATS pub-date[epub]=2026-04-23; J Stroke 2026;28(2):228-239; history[received]=2025-10-25 post-dates the cutoff, so no pre-cutoff version can exist; targeted preprint search returned no earlier posting",yes,yes,medium,medium,strong,"Comparative drug-effectiveness framing requires the annotator to score treatment-effect claims as associational, not causal. Limitation paragraph (idx 34, 337 w) needs explicit length justification.",21;23;28;33;34
CP-004,PMC12911675,nationwide population-based cohort (Taiwan National Health Insurance databases linked to the National Death Registry),metabolic and cardiovascular epidemiology — youth-onset diabetes,"506,524 patients with youth-onset type 1 or type 2 diabetes (onset <40 years) in Taiwan, median 10-year follow-up",diabetes type and age at diabetes onset (T1D<25 / T1D25-39 / T2D<25 / T2D25-39),"ischaemic heart disease, heart failure, stroke, composite CVD, all-cause and cardiovascular mortality",2026-02-16,"JATS pub-date[epub]=2026-02-16; BMJ Public Health 2026; history[received]=2025-06-22 post-dates the cutoff, so no pre-cutoff version can exist; targeted preprint search returned no earlier posting",yes,yes,low,medium,strong,"Dense group-label notation (T2D<25, aHR, ACM, CVM) raises annotation load. The dedicated limitations paragraph (idx 19, 372 w) exceeds even the 350-word ceiling and is therefore NOT usable as a limitation target; only Results and interpretation slots are available from this paper.",7;10;11;16;17
CP-005,PMC12085925,retrospective analysis of a national procedural registry (British Cardiovascular Intervention Society database),cardiovascular epidemiology — socioeconomic deprivation and PCI outcomes,"437,024 patients undergoing PCI in the UK, 2007-2014, 1.78 million person-years of follow-up",Index of Multiple Deprivation quintile,"30-day all-cause mortality (primary); 1-year and 5-year mortality (secondary)",2025-02-28,"No epub date in the JATS record; JATS pub-date[ppub]=2025-02-28; Glob Cardiol Sci Pract 2025 (DOI 10.21542/gcsp.2025.4), journal page confirms 28 February 2025; history[received]=2024-10-13, history[accepted]=2025-01-30; targeted preprint search returned no earlier posting",yes,yes,low,low,strong,"Absence of a separate online-first date means the earliest public date rests on a single source (the journal's stated issue date). Discussion paragraphs are unusually short (many 40-110 w), so interpretation targets are limited to idx 22 and 29-32. Four limitation paragraphs are available, all in the preferred band.",15;17;18;22;36
CP-006,PMC11802414,observational cohort analysis of a national longitudinal survey (China Health and Retirement Longitudinal Study),cardiovascular epidemiology — physical function and incident CVD,"10,154 CHARLS participants aged >=45 years without CVD at baseline (2011), followed to 2018",standing balance ability (semi-tandem stand test),incident cardiovascular disease (physician-diagnosed heart disease and/or stroke),2025-01-24,"JATS pub-date[epub]=2025-01-24; Front Public Health 2025 (DOI 10.3389/fpubh.2025.1436520); Frontiers does not post public author preprints during review; targeted preprint search returned no earlier posting",yes,yes,low,low,strong,"Outcome is self-reported physician-diagnosed CVD, which the annotator must preserve as a measurement qualifier. Exposure is a physical-function measure rather than a classical cardiometabolic exposure, though the outcome and cohort are squarely cardiovascular. Limitation (idx 26, 124 w) and strengths (idx 25, 115 w) paragraphs are both in the preferred band.",14;16;21;22;26
CP-007,PMC12273069,prospective cohort built from routine EHR data at a tertiary centre,cardiovascular epidemiology — cardiovascular risk management and health-service disruption,"15,143 adults at high cardiovascular risk attending outpatient departments at UMC Utrecht, March 2019 - December 2022",calendar period relative to COVID-19 lockdowns (preCOVID-19 / during / postCOVID-19),"outpatient attendance, CVRM guideline-indicator extractability, and Life's Essential 8 cardiovascular health",2025-07-16,"JATS pub-date[epub]=2025-07-16; BMJ Open 2025 (DOI 10.1136/bmjopen-2024-092374); history[received]=2024-08-13, history[accepted]=2025-06-20; BMJ Open does not auto-post preprints; targeted preprint search returned no earlier posting",yes,yes,medium,medium,strong,"Received 2024-08-13 predates the cutoff, but submission is not public appearance; the earliest verifiable public version is the 2025-07-16 online publication. Results paragraphs are short (four in the 100-220 band, none above 140 w), so this paper is better suited to interpretation and limitation slots. Limitation paragraph (idx 30, 314 w) needs explicit length justification; Discussion idx 25 (379 w) exceeds the 350-word ceiling.",19;23;26;28;30
CP-008,PMC12748521,retrospective EHR-based cohort (Vanderbilt COMMODORE resource; time-to-event analysis),metabolic epidemiology — metabolic health transitions and coronary artery disease,"844,841 adults in a quaternary-centre EHR resource; 69,272 met inclusion for the time-to-event analysis",body mass index category and transition from metabolic health to metabolic dysfunction during a 3-year run-in,incident coronary artery disease,2025-11-11,"JATS pub-date[epub]=2025-11-11; J Am Heart Assoc 2025 (DOI 10.1161/JAHA.124.037597); history[received]=2024-08-01, history[accepted]=2025-06-20; targeted preprint search returned no earlier posting",yes,yes,medium,medium,possible,"Received 2024-08-01 predates the cutoff and the group presents at AHA Scientific Sessions; a pre-cutoff AHA congress abstract of the same analysis was not found but also cannot be positively ruled out from the sources reachable here. 'What Is New?' box (paragraph 0) restates headline findings and is a leakage hazard. 25% of paragraphs carry a table/figure reference or embedded object.",13;14;19;22;24
CP-009,PMC12341586,prospective cohort of health-examination attendees linked to the Taiwan National Health Insurance database and death registry,metabolic and cardiovascular epidemiology — steatotic liver disease and CVD,"303,589 adults aged >=30 years in Taiwan examined 1997-2013 and followed to 2020 (median 10.4 years)","steatotic liver disease subtype (MASLD, MetALD, ALD) by ultrasound plus cardiometabolic criteria","incident cardiovascular events, lifetime risk, and population attributable fractions",2025-06-06,"JATS pub-date[epub]=2025-06-06; JHEP Rep 2025 (DOI 10.1016/j.jhepr.2025.101479); history[received]=2025-01-06 post-dates the cutoff, so no pre-cutoff version can exist; targeted preprint search returned no earlier posting",yes,yes,medium,medium,possible,"No dedicated limitations section: limitation content is dispersed inside Discussion paragraphs, so this paper cannot supply a limitation target. Results paragraphs are short and many open with an explicit table or figure pointer, which weakens prose-carried claims. Population attributable fraction claims require the annotator to distinguish attributable burden from relative risk.",11;15;20;22;25
CP-010,PMC12611492,retrospective cohort using national health-screening and claims data (Korean National Health Insurance Database),metabolic and cardiovascular epidemiology — insulin resistance and CKM syndrome,"1,497,913 adults enrolled in the Korean National Health Insurance Database, 2009-2012",triglyceride-glucose (TyG) index tertile within cardiovascular-kidney-metabolic syndrome stage,"composite of all-cause mortality, myocardial infarction and stroke",2025-10-31,"JATS pub-date[epub]=2025-10-31; Korean J Intern Med 2025;40(6); history[received]=2025-03-10 post-dates the cutoff, so no pre-cutoff version can exist; targeted preprint search returned no earlier posting",yes,yes,medium,medium,possible,"No usable limitation paragraph: strengths and limitations are fused into a single 395-word Discussion paragraph (idx 21) that exceeds the 350-word ceiling. Results idx 14 is 410 w and also unusable. A 'KEY MESSAGE' boxed-text block (idx 23-25) restates conclusions and is a leakage hazard. Usable inventory is therefore Results idx 12-13 and interpretation idx 18-20 only.",12;13;18;19;20
