paper_id,title,authors,journal,doi,pmcid,stable_url,open_access_license,study_design,clinical_topic,population,exposure_or_primary_predictor,outcome,earliest_public_date,earliest_public_date_evidence,cutoff_eligible,candidate_results_paragraphs,candidate_interpretation_paragraphs,candidate_limitation_paragraphs,same_paper_distractors_feasible,table_figure_dependence,specialist_knowledge_burden,inclusion_recommendation,exclusion_reason_or_unresolved_concern,candidate_paragraph_1,candidate_paragraph_2,candidate_paragraph_3,source_citations
CP-001,Sex–specific associations between frailty and long-term outcomes in patients with acute myocardial infarction: a national population-based study,Mohiaddin Hasan; Mosanya Chijioke Horatio; Lawson Claire; Khunti Kamlesh; Wood Angela; Squire Iain B.; McCann Gerry P.; Damluji Abdulla A.; Buccheri Sergio; Alkhouli Mohamad A.; Mamas Mamas A.; Rashid Muhammad,The Lancet Regional Health - Europe,10.1016/j.lanepe.2026.101612,PMC12925122,https://pmc.ncbi.nlm.nih.gov/articles/PMC12925122/,ccbylicense — https://creativecommons.org/licenses/by/4.0/,retrospective national registry/EHR-linked cohort (MINAP linked to hospital admission and mortality registries),cardiovascular epidemiology — acute myocardial infarction outcomes,"931,133 adults admitted with acute myocardial infarction in England and Wales, 2005-2019",frailty severity (SCARF index) and sex,"all-cause mortality at 1 year (primary); MACE, cardiovascular death, heart failure readmission at 30 days and 1 year",2026-02-12,"JATS pub-date[epub]=2026-02-12 in the PMC OA XML; Lancet Reg Health Eur 2026;101612 (DOI 10.1016/j.lanepe.2026.101612); history[received]=2025-10-09 post-dates the cutoff, so no pre-cutoff version can exist; targeted preprint/abstract search returned no earlier posting",yes,6 (+0 at 221-350w),5 (+1 at 221-350w),0 (+1 at 221-350w),yes,low (11% of body paragraphs reference or embed a table/figure),medium,strong,"'Research in context' box (paragraph 0) restates the headline findings and is a same-paper leakage hazard: it must be excluded from true-context and distractor windows. Only limitation paragraph (idx 30, 280 w) is a combined strengths+limitations paragraph above the 220-word preferred band.","Results > Clinical outcomes | 130w | results | ""In unadjusted analyses (Supplementary Figure S5 and Supplementary Table S3), males who…""","Results > Adjusted outcomes | 207w | results | ""After multivariable adjustment, greater frailty at 1-year was associated with higher risks…""","Discussion | 136w | interpretation | ""Our findings that frailty is strongly associated with adverse outcomes after AMI…""","Bibliographic fields, license and all dates: JATS XML for PMC12925122 in the PMC Open Access Subset, retrieved from the AWS Open Data mirror s3://pmc-oa-opendata (https://pmc-oa-opendata.s3.amazonaws.com/). Dates recorded in that XML: history[accepted]=2026-01-28; history[received]=2025-10-09; history[rev-recd]=2026-01-23; pub-date[collection]=2026-05; pub-date[epub]=2026-02-12. Paragraph counts, word counts, section paths, opening words and table/figure dependence: computed from the same XML by scripts/screen_pmc_article.py. Design, population, exposure, outcome: the article's own Abstract and Methods sections in that XML. Earliest-public-date evidence: see earliest_public_date_evidence. Article page: https://pmc.ncbi.nlm.nih.gov/articles/PMC12925122/"
CP-002,Percutaneous Coronary Intervention Outcomes by 5 Major Race and Ethnic Subgroups,Kapoor Arjun B.; Farhan Serdar; Vinayak Manish; Sartori Samantha; Feng Yihan; Prakash Yash; Mehran Roxana; Kini Annapoorna; Bhatt Deepak L.; Sharma Samin K.,JACC: Advances,10.1016/j.jacadv.2025.101767,PMC12141897,https://pmc.ncbi.nlm.nih.gov/articles/PMC12141897/,ccbyncndlicense — https://creativecommons.org/licenses/by-nc-nd/4.0/,retrospective cohort analysis of a prospectively collected single-centre PCI registry,cardiovascular epidemiology — percutaneous coronary intervention outcomes,"21,236 patients undergoing PCI at a single US centre, 2012-2022",race and ethnicity (White/Black/Hispanic/South Asian/East Asian) with census-derived socioeconomic status,1-year major adverse cardiovascular events (MACE),2025-05-13,"JATS pub-date[epub]=2025-05-13; JACC Adv 2025 (DOI 10.1016/j.jacadv.2025.101767); history[received]=2024-12-30 post-dates the cutoff, so no pre-cutoff version can exist; targeted preprint search returned no earlier posting",yes,4 (+1 at 221-350w),5 (+2 at 221-350w),1 (+0 at 221-350w),yes,low (14% of body paragraphs reference or embed a table/figure),low,strong,"Single-centre registry limits generalisability but does not affect screening eligibility. Limitation paragraph (idx 18, 114 w) sits squarely in the preferred band.","Results > Outcomes | 182w | results | ""One-year Kaplan-Meier plots are displayed in Figure 2 and Central Illustration. One-year…""","Results > Subgroup analysis | 119w | results | ""To further elucidate the clinical outcomes among different racial groups, we performed…""","Discussion | 248w | interpretation | ""Remarkably, South Asian patients exhibited a significantly lower risk of MACE and…""","Bibliographic fields, license and all dates: JATS XML for PMC12141897 in the PMC Open Access Subset, retrieved from the AWS Open Data mirror s3://pmc-oa-opendata (https://pmc-oa-opendata.s3.amazonaws.com/). Dates recorded in that XML: history[accepted]=2025-03-26; history[received]=2024-12-30; history[rev-recd]=2025-03-20; pub-date[collection]=2025-06; pub-date[epub]=2025-05-13. Paragraph counts, word counts, section paths, opening words and table/figure dependence: computed from the same XML by scripts/screen_pmc_article.py. Design, population, exposure, outcome: the article's own Abstract and Methods sections in that XML. Earliest-public-date evidence: see earliest_public_date_evidence. Article page: https://pmc.ncbi.nlm.nih.gov/articles/PMC12141897/"
CP-003,Gastrointestinal Surgery Status and the Risks of Ischemic Stroke and Safety Outcomes With Direct Oral Anticoagulants Versus Warfarin in Atrial Fibrillation: A Nationwide Population-Based Cohort Study,Ha Jiyeon; Yang Wookjin; Kim Mi-Sook; Lee Eung-Joon; Chung Matthew; Yang Boyeon; Jang Hyemin; Kim Jeong-Min; Jung Keun-Hwa; Lee Seung-Hoon,Journal of Stroke,10.5853/jos.2025.05295,PMC13243855,https://pmc.ncbi.nlm.nih.gov/articles/PMC13243855/,ccbynclicense — https://creativecommons.org/licenses/by-nc/4.0/,nationwide claims-based observational cohort (Korean Health Insurance Review and Assessment database),cardiovascular epidemiology — atrial fibrillation anticoagulation and stroke,"388,214 adults with atrial fibrillation newly prescribed oral anticoagulants in South Korea, 2015-2021",oral anticoagulant type (DOAC vs warfarin) stratified by gastrointestinal surgery status,"incident ischaemic stroke (primary); major bleeding, all-cause death, composite (secondary)",2026-04-23,"JATS pub-date[epub]=2026-04-23; J Stroke 2026;28(2):228-239; history[received]=2025-10-25 post-dates the cutoff, so no pre-cutoff version can exist; targeted preprint search returned no earlier posting",yes,3 (+0 at 221-350w),3 (+0 at 221-350w),0 (+1 at 221-350w),yes,medium (22% of body paragraphs reference or embed a table/figure),medium,strong,"Comparative drug-effectiveness framing requires the annotator to score treatment-effect claims as associational, not causal. Limitation paragraph (idx 34, 337 w) needs explicit length justification.","Results > Primary outcome: risk of ischemic stroke | 87w | results | ""During follow-up, 12,512 (3.2%) patients experienced ischemic stroke. In the 4-group comparison,…""","Results > Secondary outcomes: risk of major bleeding, all-cause death, and composite outcome | 149w | results | ""In the study population, 11,906 (3.1%) patients experienced major bleeding, 29,408 (7.57%)…""","Discussion | 140w | interpretation | ""In this nationwide observational cohort study of AF patients, 4-group comparison stratified…""","Bibliographic fields, license and all dates: JATS XML for PMC13243855 in the PMC Open Access Subset, retrieved from the AWS Open Data mirror s3://pmc-oa-opendata (https://pmc-oa-opendata.s3.amazonaws.com/). Dates recorded in that XML: history[accepted]=2026-01-23; history[received]=2025-10-25; history[rev-recd]=2025-12-24; pub-date[epub]=2026-04-23; pub-date[ppub]=2026-05. Paragraph counts, word counts, section paths, opening words and table/figure dependence: computed from the same XML by scripts/screen_pmc_article.py. Design, population, exposure, outcome: the article's own Abstract and Methods sections in that XML. Earliest-public-date evidence: see earliest_public_date_evidence. Article page: https://pmc.ncbi.nlm.nih.gov/articles/PMC13243855/"
CP-004,Cardiovascular complications and mortality in patients with youth-onset type 1 and type 2 diabetes: a population-based long-term follow-up study,Shen Xiao-Han; Chen Hua-Fen; Chen Yong-Chen; Chang Chin-Huan; Lin Rong,BMJ Public Health,10.1136/bmjph-2025-003402,PMC12911675,https://pmc.ncbi.nlm.nih.gov/articles/PMC12911675/,ccbynclicense — https://creativecommons.org/licenses/by-nc/4.0/,nationwide population-based cohort (Taiwan National Health Insurance databases linked to the National Death Registry),metabolic and cardiovascular epidemiology — youth-onset diabetes,"506,524 patients with youth-onset type 1 or type 2 diabetes (onset <40 years) in Taiwan, median 10-year follow-up",diabetes type and age at diabetes onset (T1D<25 / T1D25-39 / T2D<25 / T2D25-39),"ischaemic heart disease, heart failure, stroke, composite CVD, all-cause and cardiovascular mortality",2026-02-16,"JATS pub-date[epub]=2026-02-16; BMJ Public Health 2026; history[received]=2025-06-22 post-dates the cutoff, so no pre-cutoff version can exist; targeted preprint search returned no earlier posting",yes,3 (+1 at 221-350w),3 (+0 at 221-350w),1 (+0 at 221-350w),yes,low (18% of body paragraphs reference or embed a table/figure),medium,strong,"Dense group-label notation (T2D<25, aHR, ACM, CVM) raises annotation load. The dedicated limitations paragraph (idx 19, 372 w) exceeds even the 350-word ceiling and is therefore NOT usable as a limitation target; only Results and interpretation slots are available from this paper.","Results > General characteristics of the study subjects | 274w | results | ""The median age of diabetes onset in the T1D<25 group was 12…""","Results > Overall incidence densities and relative hazards of various cardiovascular complications and mortality | 119w | results | ""Compared with patients in the T1D<25 group, the risks of IHD, HF,…""","Results > Overall incidence densities and relative hazards of various cardiovascular complications and mortality | 100w | results | ""Compared with patients in the T1D<25 group, patients in the T1D25–39 group…""","Bibliographic fields, license and all dates: JATS XML for PMC12911675 in the PMC Open Access Subset, retrieved from the AWS Open Data mirror s3://pmc-oa-opendata (https://pmc-oa-opendata.s3.amazonaws.com/). Dates recorded in that XML: history[accepted]=2026-01-16; history[received]=2025-06-22; pub-date[collection]=2026; pub-date[epub]=2026-02-16. Paragraph counts, word counts, section paths, opening words and table/figure dependence: computed from the same XML by scripts/screen_pmc_article.py. Design, population, exposure, outcome: the article's own Abstract and Methods sections in that XML. Earliest-public-date evidence: see earliest_public_date_evidence. Article page: https://pmc.ncbi.nlm.nih.gov/articles/PMC12911675/"
CP-005,Exploring the impact of the Index of Multiple Deprivation on percutaneous coronary intervention outcomes: Insights from the British Cardiovascular Intervention Society database,Saluja Sushant; Keavney Bernard D.; Alawami Mohammed; El-Omar Magdi; Keshavarzi Freidoon; Saleem Maaham; Garg Scott; Anderson Simon G.,Global Cardiology Science & Practice,10.21542/gcsp.2025.4,PMC12085925,https://pmc.ncbi.nlm.nih.gov/articles/PMC12085925/,ccbylicense — https://creativecommons.org/licenses/by/4.0/,retrospective analysis of a national procedural registry (British Cardiovascular Intervention Society database),cardiovascular epidemiology — socioeconomic deprivation and PCI outcomes,"437,024 patients undergoing PCI in the UK, 2007-2014, 1.78 million person-years of follow-up",Index of Multiple Deprivation quintile,30-day all-cause mortality (primary); 1-year and 5-year mortality (secondary),2025-02-28,"No epub date in the JATS record; JATS pub-date[ppub]=2025-02-28; Glob Cardiol Sci Pract 2025 (DOI 10.21542/gcsp.2025.4), journal page confirms 28 February 2025; history[received]=2024-10-13, history[accepted]=2025-01-30; targeted preprint search returned no earlier posting",yes,3 (+1 at 221-350w),5 (+0 at 221-350w),2 (+0 at 221-350w),yes,low (6% of body paragraphs reference or embed a table/figure),low,strong,"Absence of a separate online-first date means the earliest public date rests on a single source (the journal's stated issue date). Discussion paragraphs are unusually short (many 40-110 w), so interpretation targets are limited to idx 22 and 29-32. Four limitation paragraphs are available, all in the preferred band.","Results | 117w | results | ""During the study period, the mortality rate at a median 3.5-year follow-up…""","Results | 160w | results | ""From a procedural perspective, patients from the most deprived quintile (Q5) underwent…""","Results | 158w | results | ""Among 437,024 eligible patients, with 1.78 million person-years of follow-up, 39.9% underwent…""","Bibliographic fields, license and all dates: JATS XML for PMC12085925 in the PMC Open Access Subset, retrieved from the AWS Open Data mirror s3://pmc-oa-opendata (https://pmc-oa-opendata.s3.amazonaws.com/). Dates recorded in that XML: history[accepted]=2025-01-30; history[received]=2024-10-13; pub-date[collection]=2025-02-28; pub-date[pub]=2025-02-28. Paragraph counts, word counts, section paths, opening words and table/figure dependence: computed from the same XML by scripts/screen_pmc_article.py. Design, population, exposure, outcome: the article's own Abstract and Methods sections in that XML. Earliest-public-date evidence: see earliest_public_date_evidence. Article page: https://pmc.ncbi.nlm.nih.gov/articles/PMC12085925/"
CP-006,Association between balance ability and cardiovascular disease onsets among middle-aged and older adults: an observational cohort study from the China Health and Retirement Longitudinal Study,Lin Yinghe; Zhong Shanshan; Sun Zhihua,Frontiers in Public Health,10.3389/fpubh.2025.1436520,PMC11802414,https://pmc.ncbi.nlm.nih.gov/articles/PMC11802414/,ccbylicense — https://creativecommons.org/licenses/by/4.0/,observational cohort analysis of a national longitudinal survey (China Health and Retirement Longitudinal Study),cardiovascular epidemiology — physical function and incident CVD,"10,154 CHARLS participants aged >=45 years without CVD at baseline (2011), followed to 2018",standing balance ability (semi-tandem stand test),incident cardiovascular disease (physician-diagnosed heart disease and/or stroke),2025-01-24,JATS pub-date[epub]=2025-01-24; Front Public Health 2025 (DOI 10.3389/fpubh.2025.1436520); Frontiers does not post public author preprints during review; targeted preprint search returned no earlier posting,yes,4 (+0 at 221-350w),3 (+0 at 221-350w),2 (+0 at 221-350w),yes,low (11% of body paragraphs reference or embed a table/figure),low,strong,"Outcome is self-reported physician-diagnosed CVD, which the annotator must preserve as a measurement qualifier. Exposure is a physical-function measure rather than a classical cardiometabolic exposure, though the outcome and cohort are squarely cardiovascular. Limitation (idx 26, 124 w) and strengths (idx 25, 115 w) paragraphs are both in the preferred band.","Results > Baseline characteristics of all participants by the outcome of CVD | 111w | results | ""Compared with participants without incident CVD, those with incident CVD were more…""","Results > Longitudinal analysis between baseline balance test and incident CVD | 118w | results | ""The result of the baseline balance test demonstrated significant associations with CVD…""","Discussion | 173w | interpretation | ""Balance ability, an essential physical measurement, is associated with death from all…""","Bibliographic fields, license and all dates: JATS XML for PMC11802414 in the PMC Open Access Subset, retrieved from the AWS Open Data mirror s3://pmc-oa-opendata (https://pmc-oa-opendata.s3.amazonaws.com/). Dates recorded in that XML: history[accepted]=2025-01-13; history[received]=2024-05-22; pub-date[collection]=2025; pub-date[epub]=2025-01-24. Paragraph counts, word counts, section paths, opening words and table/figure dependence: computed from the same XML by scripts/screen_pmc_article.py. Design, population, exposure, outcome: the article's own Abstract and Methods sections in that XML. Earliest-public-date evidence: see earliest_public_date_evidence. Article page: https://pmc.ncbi.nlm.nih.gov/articles/PMC11802414/"
CP-007,"Comparison of outpatient attendance, cardiovascular risk management and cardiovascular health across preCOVID-19, during and postCOVID-19 periods: a prospective cohort study",Zondag Anna G M; Haitjema Saskia; de Groot Mark C H; de Boer Annemarijn R; van Solinge Wouter W; Bots Michiel L; Vernooij Robin W M,BMJ Open,10.1136/bmjopen-2024-092374,PMC12273069,https://pmc.ncbi.nlm.nih.gov/articles/PMC12273069/,ccbylicense — https://creativecommons.org/licenses/by/4.0/,prospective cohort built from routine EHR data at a tertiary centre,cardiovascular epidemiology — cardiovascular risk management and health-service disruption,"15,143 adults at high cardiovascular risk attending outpatient departments at UMC Utrecht, March 2019 - December 2022",calendar period relative to COVID-19 lockdowns (preCOVID-19 / during / postCOVID-19),"outpatient attendance, CVRM guideline-indicator extractability, and Life's Essential 8 cardiovascular health",2025-07-16,"JATS pub-date[epub]=2025-07-16; BMJ Open 2025 (DOI 10.1136/bmjopen-2024-092374); history[received]=2024-08-13, history[accepted]=2025-06-20; BMJ Open does not auto-post preprints; targeted preprint search returned no earlier posting",yes,4 (+0 at 221-350w),2 (+2 at 221-350w),0 (+1 at 221-350w),yes,medium (22% of body paragraphs reference or embed a table/figure),medium,strong,"Received 2024-08-13 predates the cutoff, but submission is not public appearance; the earliest verifiable public version is the 2025-07-16 online publication. Results paragraphs are short (four in the 100-220 band, none above 140 w), so this paper is better suited to interpretation and limitation slots. Limitation paragraph (idx 30, 314 w) needs explicit length justification; Discussion idx 25 (379 w) exceeds the 350-word ceiling.","Results > OPD attendance > Follow-up appointments over time, overall and by OPD | 130w | results | ""While, in general, we observed a decrease in the number of first…""","Results > OPD attendance > Association between the COVID-19 period and CVH of the patients | 139w | results | ""The results were stratified by OPD, as OPD modified the association between…""","Discussion > Explanation and comparison with existing literature | 263w | interpretation | ""Furthermore, measures adopted in hospitals may also have influenced the OPD capacity.…""","Bibliographic fields, license and all dates: JATS XML for PMC12273069 in the PMC Open Access Subset, retrieved from the AWS Open Data mirror s3://pmc-oa-opendata (https://pmc-oa-opendata.s3.amazonaws.com/). Dates recorded in that XML: history[accepted]=2025-06-20; history[received]=2024-08-13; pub-date[collection]=2025; pub-date[epub]=2025-07-16. Paragraph counts, word counts, section paths, opening words and table/figure dependence: computed from the same XML by scripts/screen_pmc_article.py. Design, population, exposure, outcome: the article's own Abstract and Methods sections in that XML. Earliest-public-date evidence: see earliest_public_date_evidence. Article page: https://pmc.ncbi.nlm.nih.gov/articles/PMC12273069/"
CP-008,Risk of Coronary Artery Disease Associated With Transitions in Metabolic Health in a Clinical Cohort of 69 272,Shuey Megan M.; Levinson Rebecca T.; Vogel Megan E.; Farber‐Eger Eric; Huang Shi; Harrel Frank E.; Hasty Alyssa H.; Brown Jonathan D.; Silver Heidi J.; Koethe John R.; Beckman Joshua A.; Brown Nancy J.; Niswender Kevin D.; Cox Nancy J.; Wells Quinn S.,Journal of the American Heart Association: Cardiovascular and Cerebrovascular Disease,10.1161/JAHA.124.037597,PMC12748521,https://pmc.ncbi.nlm.nih.gov/articles/PMC12748521/,ccbyncndlicense — https://creativecommons.org/licenses/by-nc-nd/4.0/,retrospective EHR-based cohort (Vanderbilt COMMODORE resource; time-to-event analysis),metabolic epidemiology — metabolic health transitions and coronary artery disease,"844,841 adults in a quaternary-centre EHR resource; 69,272 met inclusion for the time-to-event analysis",body mass index category and transition from metabolic health to metabolic dysfunction during a 3-year run-in,incident coronary artery disease,2025-11-11,"JATS pub-date[epub]=2025-11-11; J Am Heart Assoc 2025 (DOI 10.1161/JAHA.124.037597); history[received]=2024-08-01, history[accepted]=2025-06-20; targeted preprint search returned no earlier posting",yes,4 (+2 at 221-350w),3 (+3 at 221-350w),1 (+1 at 221-350w),yes,medium (25% of body paragraphs reference or embed a table/figure),medium,possible,Received 2024-08-01 predates the cutoff and the group presents at AHA Scientific Sessions; a pre-cutoff AHA congress abstract of the same analysis was not found but also cannot be positively ruled out from the sources reachable here. 'What Is New?' box (paragraph 0) restates headline findings and is a leakage hazard. 25% of paragraphs carry a table/figure reference or embedded object.,"Results > Preexisting Metabolic Abnormalities and Incident Coronary Artery Disease Risk | 221w | results | ""There were 69 272 individuals who met inclusion criteria for time‐to‐event analysis.…""","Results > Lability of Metabolic Health and Incident Coronary Artery Disease Risk | 221w | results | ""A substantial number of subjects developed metabolic abnormalities during the 3‐year run‐in…""","Discussion | 200w | interpretation | ""Although this work focuses on the impacts of obesity and metabolic dysregulation…""","Bibliographic fields, license and all dates: JATS XML for PMC12748521 in the PMC Open Access Subset, retrieved from the AWS Open Data mirror s3://pmc-oa-opendata (https://pmc-oa-opendata.s3.amazonaws.com/). Dates recorded in that XML: history[accepted]=2025-06-20; history[received]=2024-08-01; pub-date[collection]=2025-12-02; pub-date[epub]=2025-11-11. Paragraph counts, word counts, section paths, opening words and table/figure dependence: computed from the same XML by scripts/screen_pmc_article.py. Design, population, exposure, outcome: the article's own Abstract and Methods sections in that XML. Earliest-public-date evidence: see earliest_public_date_evidence. Article page: https://pmc.ncbi.nlm.nih.gov/articles/PMC12748521/"
CP-009,Attributable burden of steatotic liver disease on cardiovascular outcomes in Asia,Yin Szu-Ching; Chen Yi-Ting; Chang Wei-Ting; Chen Tzu-I; Yang Tsai-Hsuan; Liu Xia-Rong; Huang Chia-Wei; Chen Yu-Wei; Lee Mei-Hsuan,JHEP Reports,10.1016/j.jhepr.2025.101479,PMC12341586,https://pmc.ncbi.nlm.nih.gov/articles/PMC12341586/,ccbylicense — https://creativecommons.org/licenses/by/4.0/,prospective cohort of health-examination attendees linked to the Taiwan National Health Insurance database and death registry,metabolic and cardiovascular epidemiology — steatotic liver disease and CVD,"303,589 adults aged >=30 years in Taiwan examined 1997-2013 and followed to 2020 (median 10.4 years)","steatotic liver disease subtype (MASLD, MetALD, ALD) by ultrasound plus cardiometabolic criteria","incident cardiovascular events, lifetime risk, and population attributable fractions",2025-06-06,"JATS pub-date[epub]=2025-06-06; JHEP Rep 2025 (DOI 10.1016/j.jhepr.2025.101479); history[received]=2025-01-06 post-dates the cutoff, so no pre-cutoff version can exist; targeted preprint search returned no earlier posting",yes,4 (+0 at 221-350w),6 (+1 at 221-350w),0 (+0 at 221-350w),yes,medium (21% of body paragraphs reference or embed a table/figure),medium,possible,"No dedicated limitations section: limitation content is dispersed inside Discussion paragraphs, so this paper cannot supply a limitation target. Results paragraphs are short and many open with an explicit table or figure pointer, which weakens prose-carried claims. Population attributable fraction claims require the annotator to distinguish attributable burden from relative risk.","Results > Incidence rates and lifetime risks of cardiovascular diseases for MASLD, MetALD, and ALD | 108w | results | ""Participants with MetALD had even higher incidence rates, reaching 7,898.1 per 100,000…""","Results > Relative risks of cardiovascular diseases for MASLD, MetALD, and ALD | 95w | results | ""The magnitude of risk increased across the SLD spectrum. The adjusted RR…""","Discussion | 204w | interpretation | ""Although the terminology has evolved from non-alcoholic fatty liver disease to MASLD,…""","Bibliographic fields, license and all dates: JATS XML for PMC12341586 in the PMC Open Access Subset, retrieved from the AWS Open Data mirror s3://pmc-oa-opendata (https://pmc-oa-opendata.s3.amazonaws.com/). Dates recorded in that XML: history[accepted]=2025-06-02; history[received]=2025-01-06; history[rev-recd]=2025-05-26; pub-date[collection]=2025-09; pub-date[epub]=2025-06-06. Paragraph counts, word counts, section paths, opening words and table/figure dependence: computed from the same XML by scripts/screen_pmc_article.py. Design, population, exposure, outcome: the article's own Abstract and Methods sections in that XML. Earliest-public-date evidence: see earliest_public_date_evidence. Article page: https://pmc.ncbi.nlm.nih.gov/articles/PMC12341586/"
CP-010,Association of the triglyceride-glucose index with cardiovascular outcomes across cardiovascular-kidney-metabolic syndrome stages,Kim Byung Sik; Kim Hyun-Jin; Moon Shinje; Kim Hasung; Lee Jungkuk; Shin Jeong-Hun,The Korean Journal of Internal Medicine,10.3904/kjim.2025.082,PMC12611492,https://pmc.ncbi.nlm.nih.gov/articles/PMC12611492/,ccbynclicense — https://creativecommons.org/licenses/by-nc/4.0/,retrospective cohort using national health-screening and claims data (Korean National Health Insurance Database),metabolic and cardiovascular epidemiology — insulin resistance and CKM syndrome,"1,497,913 adults enrolled in the Korean National Health Insurance Database, 2009-2012",triglyceride-glucose (TyG) index tertile within cardiovascular-kidney-metabolic syndrome stage,"composite of all-cause mortality, myocardial infarction and stroke",2025-10-31,"JATS pub-date[epub]=2025-10-31; Korean J Intern Med 2025;40(6); history[received]=2025-03-10 post-dates the cutoff, so no pre-cutoff version can exist; targeted preprint search returned no earlier posting",yes,1 (+1 at 221-350w),4 (+1 at 221-350w),0 (+0 at 221-350w),yes,medium (20% of body paragraphs reference or embed a table/figure),medium,possible,No usable limitation paragraph: strengths and limitations are fused into a single 395-word Discussion paragraph (idx 21) that exceeds the 350-word ceiling. Results idx 14 is 410 w and also unusable. A 'KEY MESSAGE' boxed-text block (idx 23-25) restates conclusions and is a leakage hazard. Usable inventory is therefore Results idx 12-13 and interpretation idx 18-20 only.,"RESULTS > Baseline characteristics | 221w | results | ""Table 1 presents the baseline characteristics of the study population stratified by…""","RESULTS > Clinical outcomes according to TyG index across CKM syndrome stages | 122w | results | ""Figure 2 illustrates the Kaplan–Meier survival curves for the composite primary outcomes…""","DISCUSSION | 212w | interpretation | ""CKM syndrome represents a complex, multidirectional interplay between metabolic risk factors, CKD,…""","Bibliographic fields, license and all dates: JATS XML for PMC12611492 in the PMC Open Access Subset, retrieved from the AWS Open Data mirror s3://pmc-oa-opendata (https://pmc-oa-opendata.s3.amazonaws.com/). Dates recorded in that XML: history[accepted]=2025-06-24; history[received]=2025-03-10; history[rev-recd]=2025-05-24; pub-date[epub]=2025-10-31; pub-date[ppub]=2025-11. Paragraph counts, word counts, section paths, opening words and table/figure dependence: computed from the same XML by scripts/screen_pmc_article.py. Design, population, exposure, outcome: the article's own Abstract and Methods sections in that XML. Earliest-public-date evidence: see earliest_public_date_evidence. Article page: https://pmc.ncbi.nlm.nih.gov/articles/PMC12611492/"
CP-011,All-cause mortality and cardiovascular outcomes with glucagon-like peptide-1 receptor agonists in patients with type 2 diabetes and heart failure with reduced ejection fraction,Vignarajah Aravinthan; Oro Peter; El Dahdah Joseph; Vigneswaramoorthy Nishanthi; Vest Amanda R.; Shah Gautam,American Heart Journal Plus: Cardiology Research and Practice,10.1016/j.ahjo.2025.100676,PMC12664052,https://pmc.ncbi.nlm.nih.gov/articles/PMC12664052/,ccbylicense — https://creativecommons.org/licenses/by/4.0/,retrospective active-comparator new-user cohort in a federated EHR network (TriNetX),metabolic and cardiovascular epidemiology — glucose-lowering therapy and heart failure outcomes,adults with type 2 diabetes and left ventricular ejection fraction <=40% in the TriNetX Research Network,GLP-1 receptor agonist initiation versus DPP-4 inhibitor initiation (propensity-score matched 1:1),"all-cause mortality (primary); AMI, heart failure exacerbation, arrhythmia, all-cause hospitalisation",2025-11-13,"JATS pub-date[epub]=2025-11-13; Am Heart J Plus 2025 (DOI in record); history[received]=2025-09-09 post-dates the cutoff, so no pre-cutoff version can exist; targeted preprint search returned no earlier posting",yes,1 (+0 at 221-350w),6 (+1 at 221-350w),1 (+0 at 221-350w),yes,high (38% of body paragraphs reference or embed a table/figure),medium,possible,"38% of paragraphs carry a table/figure reference or embedded object — the highest table dependence in the inventory. Results paragraphs are almost all below 100 words (only idx 14 at 173 w reaches the preferred band), so this paper realistically supplies interpretation and limitation targets only. Limitation paragraph (idx 23, 212 w) is well formed.","Results > Subgroup analysis | 173w | results | ""The beneficial association of GLP-1 RA therapy with mortality and cardiovascular outcomes…""","Discussions | 281w | interpretation | ""The findings of our study align with the composite and individual cardiovascular…""","Discussions | 141w | interpretation | ""Our study tries to fill these gaps in evidence that remain unexplored…""","Bibliographic fields, license and all dates: JATS XML for PMC12664052 in the PMC Open Access Subset, retrieved from the AWS Open Data mirror s3://pmc-oa-opendata (https://pmc-oa-opendata.s3.amazonaws.com/). Dates recorded in that XML: history[accepted]=2025-11-11; history[received]=2025-09-09; history[rev-recd]=2025-10-28; pub-date[collection]=2025-12; pub-date[epub]=2025-11-13. Paragraph counts, word counts, section paths, opening words and table/figure dependence: computed from the same XML by scripts/screen_pmc_article.py. Design, population, exposure, outcome: the article's own Abstract and Methods sections in that XML. Earliest-public-date evidence: see earliest_public_date_evidence. Article page: https://pmc.ncbi.nlm.nih.gov/articles/PMC12664052/"
