pmcid,candidate_origin,prior_disposition,discovery_scope_flag,title,pmid,doi,ncbi_status,ncbi_pubdate,ncbi_epubdate,pmc_aws_status,pmc_aws_article_version,pmc_aws_license,pmc_aws_open_access,pmc_aws_retracted,pmc_aws_xml_url,europe_pmc_status,europe_pmc_first_publication_date,europe_pmc_electronic_publication_date,europe_pmc_first_index_date,europe_pmc_open_access,crossref_status,crossref_published_online,crossref_published_print,crossref_issued,crossref_created,crossref_deposited,crossref_relation,openalex_status,openalex_id,openalex_publication_date,openalex_updated_date,medrxiv_status,biorxiv_status,preprint_first_date,preprint_matches,unpaywall_status,computed_earliest_public_date,computed_earliest_public_source,date_lineages,date_conflict,crosscheck_disposition,human_date_review_required
PMC11467773,prior_48,E-DATE-UNCERTAIN,,Weight change and the risk of cardiovascular disease in patients with hypertension: A primary-care cohort study.,,10.7189/jogh.14.04176,complete,2024 Oct 1,2024 Oct 1,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC11467773.1/PMC11467773.1.xml?md5=1a05090becd41da8dfb24174f72a36c2,complete,2024-10-01,,2024-10-12,y,complete,2024-10-01,,2024-10-01,2024-10-11,2024-10-11,{},complete_unauthenticated_compatibility,https://openalex.org/W4403341014,2024-10-01,2026-06-11T09:08:48.828518,not_found,not_found,,[],source_incomplete_missing_contact_email,2024-10-01,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,ineligible_pre_cutoff,no
PMC11695108,prior_48,possible,,The Effect of Glycemic Control on Cardiovascular Disease Progression in Adults With Early-Onset Type 2 Diabetes: A Longitudinal Cohort Analysis.,,10.7759/cureus.75058,complete,2024 Dec,2024 Dec 3,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC11695108.1/PMC11695108.1.xml?md5=0ccd07d3715afc8f7af0db1117d698e3,complete,2024-12-03,,2025-01-06,y,complete,,2024-12-03,2024-12-03,2024-12-04,2024-12-04,{},complete_unauthenticated_compatibility,https://openalex.org/W4404957341,2024-12-03,2026-07-29T09:40:50.615796,not_found,not_found,,[],source_incomplete_missing_contact_email,2024-12-01,ncbi_pubdate,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC11701191,prior_48,E-DATE-PRE,,The impact of metabolic heterogeneity of obesity and transitions on cardiovascular disease incidence in Chinese middle-aged and elderly population: A nationwide prospective cohort study.,,10.1111/dom.16040,complete,2025 Feb,2024 Nov 4,complete,1,CC BY-NC-ND,true,false,s3://pmc-oa-opendata/PMC11701191.1/PMC11701191.1.xml?md5=26ffe6c4688240b16e2523cb53562ced,complete,2024-11-04,,2024-11-05,y,complete,2024-11-04,2025-02,2024-11-04,2024-11-05,2026-04-10,"{""has-review"":[{""asserted-by"":""object"",""id"":""10.1111/DOM.16040/v2/decision1"",""id-type"":""doi""},{""asserted-by"":""object"",""id"":""10.1111/DOM.16040/v2/response1"",""id-type"":""doi""},{""asserted-by"":""object"",""id"":""10.1111/DOM.16040/v1/decision1"",""id-type"":""doi""},{""asserted-by"":""object"",""id"":""10.1111/DOM.16040/v1/review3"",""id-type"":""doi""},{""asserted-by"":""object"",""id"":""10.1111/DOM.16040/v1/review1"",""id-type"":""doi""},{""asserted-by"":""object"",""id"":""10.1111/DOM.16040/v1/review2"",""id-type"":""doi""}]}",complete_unauthenticated_compatibility,https://openalex.org/W4404084230,2024-11-04,2026-07-20T07:56:41.581041,not_found,not_found,,[],source_incomplete_missing_contact_email,2024-11-04,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,yes,ineligible_pre_cutoff,no
PMC11750874,prior_48,E-PARA,,Effects of PM(2.5) exposure and air temperature on risk of cardiovascular disease: evidence from a prospective cohort study.,,10.3389/fpubh.2024.1487034,complete,2024,2025 Jan 8,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC11750874.1/PMC11750874.1.xml?md5=4a978387be26f97568558aa3afcf6614,complete,2025-01-08,,2025-01-24,y,complete,2025-01-08,,2025-01-08,2025-01-08,2025-01-08,{},complete_unauthenticated_compatibility,https://openalex.org/W4406188589,2025-01-08,2026-07-29T09:40:50.615796,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-01-08,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC11751837,prior_48,E-SUBDOMAIN,,Chronic kidney disease progression in patients with previous type 2 diabetes and/or hypertension: a population-based cohort study from primary care in Spain.,,10.1136/bmjopen-2024-086919,complete,2025 Jan 20,2025 Jan 20,complete,1,CC BY-NC,true,false,s3://pmc-oa-opendata/PMC11751837.1/PMC11751837.1.xml?md5=5fd9d2080dfd17e06c227f530cf0d997,complete,2025-01-20,,2025-01-22,y,complete,2025-01-20,2025-01,2025-01,2025-01-20,2025-12-16,{},complete_unauthenticated_compatibility,https://openalex.org/W4406604726,2025-01-01,2026-07-28T07:46:37.118299,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-01-01,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC11761004,prior_48,E-SUBDOMAIN,,Health outcomes in chronic kidney disease patients with cognitive impairment or dementia: a global collaborative analysis.,,10.1093/ckj/sfae401,complete,2025 Jan,2024 Dec 11,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC11761004.1/PMC11761004.1.xml?md5=9123e2f18205b1bbff9e2ea914c62946,complete,2024-12-11,,2025-01-28,y,complete,2024-12-11,2025-01-07,2024-12-11,2024-12-12,2025-02-04,{},complete_unauthenticated_compatibility,https://openalex.org/W4405264797,2024-12-11,2026-07-28T07:46:37.118299,not_found,not_found,,[],source_incomplete_missing_contact_email,2024-12-11,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC11802414,prior_48,strong,,Association between balance ability and cardiovascular disease onsets among middle-aged and older adults: an observational cohort study from the China Health and Retirement Longitudinal Study.,,10.3389/fpubh.2025.1436520,complete,2025,2025 Jan 24,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC11802414.1/PMC11802414.1.xml?md5=e1aa090942c99a2e459111e17d444af8,complete,2025-01-24,,2025-02-10,y,complete,2025-01-24,,2025-01-24,2025-01-24,2025-01-24,{},complete_unauthenticated_compatibility,https://openalex.org/W4406810090,2025-01-24,2026-07-23T08:03:31.855105,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-01-24,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC11806717,prior_48,E-PRED,,Characterisation of cardiovascular disease (CVD) incidence and machine learning risk prediction in middle-aged and elderly populations: data from the China health and retirement longitudinal study (CHARLS).,,10.1186/s12889-025-21609-7,complete,2025 Feb 7,2025 Feb 7,complete,1,CC BY-NC-ND,true,false,s3://pmc-oa-opendata/PMC11806717.1/PMC11806717.1.xml?md5=18a84849c7cdd311e7d041726f61749f,complete,2025-02-07,,2025-02-08,y,complete,2025-02-07,,2025-02-07,2025-02-07,2025-02-07,{},complete_unauthenticated_compatibility,https://openalex.org/W4407241285,2025-02-07,2026-07-29T09:40:50.615796,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-02-07,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC11833633,prior_48,E-PARA,,Association between new-onset atrial fibrillation and adverse clinical outcomes by country of origin: A matched nationwide cohort study.,,10.1016/j.jmh.2025.100306,complete,2025,2025 Jan 25,complete,1,CC BY-NC,true,false,s3://pmc-oa-opendata/PMC11833633.1/PMC11833633.1.xml?md5=f9d3199942f80ac3b077b4cfb7494757,complete,2025-01-25,,2025-02-19,y,complete,,2025,2025,2025-01-25,2025-08-28,{},complete_unauthenticated_compatibility,https://openalex.org/W4406813917,2025-01-01,2026-07-12T07:33:03.550515,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-01-01,openalex_publication_date,bibliographic_index;crossref_derived_index,no,unresolved_single_lineage,yes
PMC11885081,prior_48,E-DESIGN,,Diabetes and incident stroke and mediation by microvascular dysfunction: Pooled analysis of three population-based studies.,,10.1111/dom.16217,complete,2025 Apr,2025 Jan 30,complete,1,CC BY-NC,true,false,s3://pmc-oa-opendata/PMC11885081.1/PMC11885081.1.xml?md5=80dd0e420bf2dbce8375d0f96ac7f16b,complete,2025-01-30,,2025-01-31,y,complete,2025-01-30,2025-04,2025-01-30,2025-01-30,2025-10-31,"{""has-review"":[{""asserted-by"":""object"",""id"":""10.1111/DOM.16217/v2/response1"",""id-type"":""doi""},{""asserted-by"":""object"",""id"":""10.1111/DOM.16217/v1/decision1"",""id-type"":""doi""},{""asserted-by"":""object"",""id"":""10.1111/DOM.16217/v3/decision1"",""id-type"":""doi""},{""asserted-by"":""object"",""id"":""10.1111/DOM.16217/v1/review3"",""id-type"":""doi""},{""asserted-by"":""object"",""id"":""10.1111/DOM.16217/v1/review4"",""id-type"":""doi""},{""asserted-by"":""object"",""id"":""10.1111/DOM.16217/v1/review1"",""id-type"":""doi""},{""asserted-by"":""object"",""id"":""10.1111/DOM.16217/v1/review2"",""id-type"":""doi""},{""asserted-by"":""object"",""id"":""10.1111/DOM.16217/v3/response1"",""id-type"":""doi""},{""asserted-by"":""object"",""id"":""10.1111/DOM.16217/v2/decision1"",""id-type"":""doi""},{""asserted-by"":""object"",""id"":""10.1111/DOM.16217/v2/review1"",""id-type"":""doi""}]}",complete_unauthenticated_compatibility,https://openalex.org/W4406992064,2025-01-30,2026-07-29T09:40:50.615796,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-01-30,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
