discovery_run,source,query,query_translation,retrieved_at_utc,pmc_uid,pmcid,pmid,doi,title,pubdate,existing_48_candidate,automated_scope_flag
DISC-2026-07-29-PMC-01,NCBI ESearch db=pmc,"(""2026/07/01""[Publication Date] : ""2026/07/29""[Publication Date]) AND open_access[filter] AND ""cohort study""[Title] AND (cardiovascular[Title] OR metabolic[Title] OR diabetes[Title] OR coronary[Title] OR stroke[Title] OR ""heart failure""[Title])","2026/07/01:2026/07/29[Date - Publication] AND ""open access""[Filter] AND ""cohort study""[Title] AND (""cardiovascular""[Title] OR ""metabolic""[Title] OR ""diabetes""[Title] OR ""coronary""[Title] OR ""stroke""[Title] OR ""heart failure""[Title])",2026-07-29T20:43:36+00:00,13412647,PMC13412647,,10.1097/hc9.0000000000001013,The risk of cardiovascular events in metabolic dysfunction-associated steatotic liver disease according to fibrosis stage and diabetes status: A cohort study.,2026 Aug 1,no,requires_full_text_screen
DISC-2026-07-29-PMC-01,NCBI ESearch db=pmc,"(""2026/07/01""[Publication Date] : ""2026/07/29""[Publication Date]) AND open_access[filter] AND ""cohort study""[Title] AND (cardiovascular[Title] OR metabolic[Title] OR diabetes[Title] OR coronary[Title] OR stroke[Title] OR ""heart failure""[Title])","2026/07/01:2026/07/29[Date - Publication] AND ""open access""[Filter] AND ""cohort study""[Title] AND (""cardiovascular""[Title] OR ""metabolic""[Title] OR ""diabetes""[Title] OR ""coronary""[Title] OR ""stroke""[Title] OR ""heart failure""[Title])",2026-07-29T20:43:36+00:00,13412876,PMC13412876,,10.3390/jcm15145695,Carotid Plaques and Type 2 Diabetes as Predictors of Cardiovascular Events and Mortality: Insights from the LitHiR Prospective Cohort Study.,2026 Jul 21,no,requires_full_text_screen
DISC-2026-07-29-PMC-01,NCBI ESearch db=pmc,"(""2026/07/01""[Publication Date] : ""2026/07/29""[Publication Date]) AND open_access[filter] AND ""cohort study""[Title] AND (cardiovascular[Title] OR metabolic[Title] OR diabetes[Title] OR coronary[Title] OR stroke[Title] OR ""heart failure""[Title])","2026/07/01:2026/07/29[Date - Publication] AND ""open access""[Filter] AND ""cohort study""[Title] AND (""cardiovascular""[Title] OR ""metabolic""[Title] OR ""diabetes""[Title] OR ""coronary""[Title] OR ""stroke""[Title] OR ""heart failure""[Title])",2026-07-29T20:43:36+00:00,13413080,PMC13413080,,10.3390/jcm15145671,Patient-Level Multidimensional Response Phenotypes in Obesity-Associated Type 2 Diabetes: A 12-Month Real-World Cohort Study.,2026 Jul 20,no,requires_full_text_screen
DISC-2026-07-29-PMC-01,NCBI ESearch db=pmc,"(""2026/07/01""[Publication Date] : ""2026/07/29""[Publication Date]) AND open_access[filter] AND ""cohort study""[Title] AND (cardiovascular[Title] OR metabolic[Title] OR diabetes[Title] OR coronary[Title] OR stroke[Title] OR ""heart failure""[Title])","2026/07/01:2026/07/29[Date - Publication] AND ""open access""[Filter] AND ""cohort study""[Title] AND (""cardiovascular""[Title] OR ""metabolic""[Title] OR ""diabetes""[Title] OR ""coronary""[Title] OR ""stroke""[Title] OR ""heart failure""[Title])",2026-07-29T20:43:36+00:00,13412813,PMC13412813,,10.3390/jcm15145627,Real-World Attainment of Guideline-Recommended Lipid Targets in Patients with High and Very High Cardiovascular Risk: A Prospective 12-Month Observational Cohort Study.,2026 Jul 17,no,requires_full_text_screen
DISC-2026-07-29-PMC-01,NCBI ESearch db=pmc,"(""2026/07/01""[Publication Date] : ""2026/07/29""[Publication Date]) AND open_access[filter] AND ""cohort study""[Title] AND (cardiovascular[Title] OR metabolic[Title] OR diabetes[Title] OR coronary[Title] OR stroke[Title] OR ""heart failure""[Title])","2026/07/01:2026/07/29[Date - Publication] AND ""open access""[Filter] AND ""cohort study""[Title] AND (""cardiovascular""[Title] OR ""metabolic""[Title] OR ""diabetes""[Title] OR ""coronary""[Title] OR ""stroke""[Title] OR ""heart failure""[Title])",2026-07-29T20:43:36+00:00,13411413,PMC13411413,,10.3390/jcm15145453,Association Between Metabolic Dysfunction-Associated Steatotic Liver Disease and Risk of Aortic Aneurysm and Dissection: A Nationwide Cohort Study.,2026 Jul 12,yes,requires_full_text_screen
DISC-2026-07-29-PMC-01,NCBI ESearch db=pmc,"(""2026/07/01""[Publication Date] : ""2026/07/29""[Publication Date]) AND open_access[filter] AND ""cohort study""[Title] AND (cardiovascular[Title] OR metabolic[Title] OR diabetes[Title] OR coronary[Title] OR stroke[Title] OR ""heart failure""[Title])","2026/07/01:2026/07/29[Date - Publication] AND ""open access""[Filter] AND ""cohort study""[Title] AND (""cardiovascular""[Title] OR ""metabolic""[Title] OR ""diabetes""[Title] OR ""coronary""[Title] OR ""stroke""[Title] OR ""heart failure""[Title])",2026-07-29T20:43:36+00:00,13410559,PMC13410559,,10.3390/jcm15145394,"Sleep Disturbances, Metabolic Markers, and Outcomes After Stroke: A Retrospective Cohort Study in a Tertiary Hospital.",2026 Jul 9,no,requires_full_text_screen
DISC-2026-07-29-PMC-01,NCBI ESearch db=pmc,"(""2026/07/01""[Publication Date] : ""2026/07/29""[Publication Date]) AND open_access[filter] AND ""cohort study""[Title] AND (cardiovascular[Title] OR metabolic[Title] OR diabetes[Title] OR coronary[Title] OR stroke[Title] OR ""heart failure""[Title])","2026/07/01:2026/07/29[Date - Publication] AND ""open access""[Filter] AND ""cohort study""[Title] AND (""cardiovascular""[Title] OR ""metabolic""[Title] OR ""diabetes""[Title] OR ""coronary""[Title] OR ""stroke""[Title] OR ""heart failure""[Title])",2026-07-29T20:43:36+00:00,13411797,PMC13411797,,10.3390/healthcare14142221,QuantiFERON-TB Gold Plus Conversion Among Healthcare Workers: A Retrospective Cohort Study on Occupational and Metabolic Factors.,2026 Jul 22,no,requires_full_text_screen
DISC-2026-07-29-PMC-01,NCBI ESearch db=pmc,"(""2026/07/01""[Publication Date] : ""2026/07/29""[Publication Date]) AND open_access[filter] AND ""cohort study""[Title] AND (cardiovascular[Title] OR metabolic[Title] OR diabetes[Title] OR coronary[Title] OR stroke[Title] OR ""heart failure""[Title])","2026/07/01:2026/07/29[Date - Publication] AND ""open access""[Filter] AND ""cohort study""[Title] AND (""cardiovascular""[Title] OR ""metabolic""[Title] OR ""diabetes""[Title] OR ""coronary""[Title] OR ""stroke""[Title] OR ""heart failure""[Title])",2026-07-29T20:43:36+00:00,13411224,PMC13411224,,10.3390/healthcare14142043,Joint Association of Functional Impairment and Depression with Advanced Cardiovascular-Kidney-Metabolic Syndrome: A Cross-Sectional and Cohort Study Using Two Large Datasets.,2026 Jul 8,no,exclude_title:cross_sectional
DISC-2026-07-29-PMC-01,NCBI ESearch db=pmc,"(""2026/07/01""[Publication Date] : ""2026/07/29""[Publication Date]) AND open_access[filter] AND ""cohort study""[Title] AND (cardiovascular[Title] OR metabolic[Title] OR diabetes[Title] OR coronary[Title] OR stroke[Title] OR ""heart failure""[Title])","2026/07/01:2026/07/29[Date - Publication] AND ""open access""[Filter] AND ""cohort study""[Title] AND (""cardiovascular""[Title] OR ""metabolic""[Title] OR ""diabetes""[Title] OR ""coronary""[Title] OR ""stroke""[Title] OR ""heart failure""[Title])",2026-07-29T20:43:36+00:00,13408700,PMC13408700,,10.1038/s41598-026-63006-z,Association of the cardiometabolic index and depressive symptoms with cardiovascular disease in cardiovascular-kidney-metabolic syndrome stages 0-3: A prospective cohort study.,2026 Jul 24,no,requires_full_text_screen
DISC-2026-07-29-PMC-01,NCBI ESearch db=pmc,"(""2026/07/01""[Publication Date] : ""2026/07/29""[Publication Date]) AND open_access[filter] AND ""cohort study""[Title] AND (cardiovascular[Title] OR metabolic[Title] OR diabetes[Title] OR coronary[Title] OR stroke[Title] OR ""heart failure""[Title])","2026/07/01:2026/07/29[Date - Publication] AND ""open access""[Filter] AND ""cohort study""[Title] AND (""cardiovascular""[Title] OR ""metabolic""[Title] OR ""diabetes""[Title] OR ""coronary""[Title] OR ""stroke""[Title] OR ""heart failure""[Title])",2026-07-29T20:43:36+00:00,13409092,PMC13409092,,10.1136/openhrt-2026-004236,BMI-based prediction models for short-term and long-term mortality following coronary artery bypass grafting using the MIMIC-IV database: a retrospective cohort study.,2026 Jul 27,no,exclude_title:prediction_or_ml
